,Unnamed: 0,_fivetran_id,date,property,_fivetran_synced,active_users,add_to_carts,checkouts,ecommerce_purchases,engaged_sessions,gross_purchase_revenue,new_users,sessions,total_purchasers,total_users
0,0,BG4Vy6ZsgDy6TbxRtEeV5RdYBQE=,2023-09-05,properties/368744614,2023-11-17 15:54:09.255000 UTC,672,24,8,0,345,0.0,557,689,0,588
1,1,2Evkf36cYUN56t+K/9/QMwG5W98=,2023-09-07,properties/368744614,2023-11-17 15:54:09.254000 UTC,689,27,12,0,428,2910.769273943738,527,857,0,625
2,2,1l2sxehqNdMYk/5NbruPqjmDBzI=,2023-07-20,properties/309559498,2023-11-17 15:54:22.982000 UTC,1080,42,6,1,724,1033.4572632797567,519,739,0,733
3,3,JusMWZmTFg2zCg0VSmROcXTbAN4=,2023-09-10,properties/309559498,2023-11-17 15:54:09.179000 UTC,550,76,17,1,541,710.2399448563756,590,716,0,663
4,4,9eJJkue7mdByTXMn4B+PyV2xAxI=,2023-10-15,properties/309559498,2023-11-17 15:54:01.256000 UTC,775,57,7,1,796,363.68988123705725,583,772,0,518
5,5,+KKoj0AA4zdjPQ6gTscuL9EUjQo=,2023-09-21,properties/374182661,2023-11-17 15:54:04.841000 UTC,1506,37,5,1,457,232.59122209799986,569,1342,2,1542
6,6,c2ts20od69kxQ6RkIBO3dtNytgQ=,2023-08-19,properties/309559498,2023-11-17 15:54:16.069000 UTC,515,91,26,4,523,551.7953390254086,551,1029,1,635
7,7,3ZAKMz2ty/Gm8wGOaLxSG9SQHwk=,2023-09-02,properties/309559498,2023-11-17 15:54:09.276000 UTC,334,49,20,3,490,794.2176680947471,369,466,0,271
8,8,vN0+MU0vPJDLSyLCW5Y6KX6M7uE=,2023-09-09,properties/309559498,2023-11-17 15:54:09.204000 UTC,460,80,4,2,638,711.4726927708601,533,676,1,394
9,9,LZuvoZmYxd0EMo8IbTSzW6WN+vs=,2023-09-16,properties/309559498,2023-11-17 15:54:09.189000 UTC,430,39,12,4,458,522.2738570589378,474,494,1,614
10,10,33J2uu9EiOduFTI/+Xgwt7RsRoI=,2023-09-25,properties/309559498,2023-11-17 15:54:01.246000 UTC,487,72,19,2,770,714.8536386750142,767,1034,2,718
11,11,27cIZmNhzr7tMBW6hcpXHlExKq8=,2023-09-19,properties/374182661,2023-11-17 15:54:04.840000 UTC,1415,33,5,3,599,381.74540771216607,1184,2019,3,917
12,12,H/A1SSZTT3LbO8vcaxz7yHXOsmo=,2023-07-16,properties/309559498,2023-11-17 15:54:21.350000 UTC,424,81,10,4,500,981.7661599468552,487,467,2,600
13,13,Pm2pXuuWoslCXTqf7J4HDQnRl9E=,2023-08-11,properties/309559498,2023-11-17 15:54:15.207000 UTC,397,56,16,5,616,1239.3972265557836,479,669,2,342
14,14,MxC9XG7LPBFIW7lCThk8VC1Tsuc=,2023-08-12,properties/309559498,2023-11-17 15:54:15.198000 UTC,378,55,8,4,410,1113.351309134027,365,441,3,539
15,15,JZg+2c1ewf1eATz/9OfRPony+PQ=,2023-08-25,properties/309559498,2023-11-17 15:54:09.186000 UTC,591,44,8,6,602,891.8126991457366,620,602,1,709
16,16,3sS5n/tjM9oVMdFHJxRd1IM+Uj8=,2023-08-31,properties/309559498,2023-11-17 15:54:09.187000 UTC,839,63,10,6,606,671.6982604514819,430,752,1,682
17,17,d69s7bGKs4nCOilA99S8rKr+dOo=,2023-09-24,properties/309559498,2023-11-17 15:54:01.263000 UTC,609,58,15,3,481,964.1894972157603,525,588,2,812
18,18,q4CypFy+HrZ4/IyOgzA9D5LDPlk=,2023-10-01,properties/309559498,2023-11-17 15:54:01.265000 UTC,696,85,8,6,410,1403.4677430019906,659,715,3,622
19,19,/gFux/bpw4Pt4nKOHdy3NYL6qLI=,2023-07-05,properties/309559498,2023-11-17 15:54:21.425000 UTC,327,51,9,7,257,1020.9012766233556,229,362,3,424
20,20,xlkYBLlEyl9e44jLQoMvT/G+k/s=,2023-08-28,properties/309559498,2023-11-17 15:54:09.178000 UTC,652,62,9,7,764,582.4618198191015,540,760,3,686
21,21,fxMWhSn9zgSArSL8NSnQnygSF34=,2023-09-30,properties/309559498,2023-11-17 15:54:01.267000 UTC,613,73,18,8,488,1194.3926542465497,618,646,3,609
22,22,PpGz2YIy2SI0v6LC0dlnEQY6JNM=,2023-07-03,properties/309559498,2023-11-17 15:54:21.390000 UTC,401,83,14,12,348,1081.7714527949522,265,489,3,524
23,23,ffBz7iA2C7wM944gHFUPRdRWtqU=,2023-09-03,properties/309559498,2023-11-17 15:54:09.254000 UTC,338,48,11,11,462,1938.7937641242888,462,492,5,299
24,24,dz/uysNTkM/1VYOEnzwMA4WD6GY=,2023-10-10,properties/309559498,2023-11-17 15:54:01.267000 UTC,835,135,20,9,778,1512.2149650677238,493,694,3,679
25,25,gQ0XGEBo2v2AEXL8GepMqN9chD0=,2023-08-17,properties/309559498,2023-11-17 15:54:15.086000 UTC,592,53,14,13,635,2133.8291468851476,650,869,5,760
26,26,5SeVqkcNZMWTOcXVCIGnrHdL9OQ=,2023-08-10,properties/311983201,2023-11-17 15:54:14.916000 UTC,142,0,7,12,93,2065.0154942987083,122,165,5,115
27,27,dGsNU1QNWhR2dbLegc0PBTmIgxw=,2023-10-04,properties/311983201,2023-11-17 15:54:00.680000 UTC,251,0,7,7,169,841.5836725652995,148,283,5,218
28,28,dz/uysNTkM/1VYOEnzwMA4WD6GY=,2023-10-10,properties/311983201,2023-11-17 15:54:00.677000 UTC,177,0,22,6,189,889.4212719010189,163,260,7,216
29,29,JZg+2c1ewf1eATz/9OfRPony+PQ=,2023-08-25,properties/319751093,2023-11-17 15:54:09.396000 UTC,1298,166,24,10,1772,1124.981621883083,1390,3294,5,1925
